CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
141	644	5	0.9103	-112.125
256	723	5	0.8439	-28.031
17	32	5	0.9027	-115.958
112	433	5	0.8565	467.504
238	439	5	0.9075	-127.185
4	256	5	0.9364	14.015
236	744	5	0.9847	0.000
25	141	5	0.9187	56.062
256	963	5	0.8582	32.026
44	156	5	0.8611	50.016
644	790	5	0.8745	25.180
290	523	5	0.9016	193.183
541	604	5	0.8031	10.023
409	550	5	0.8331	-9.984
17	68	5	0.8704	14.052
123	668	5	0.7989	-313.223
47	541	5	0.8997	-0.000
409	646	5	0.8665	111.152
117	126	5	0.8612	125.048
545	697	5	0.9364	-26.052
117	716	5	0.8364	111.068
15	25	5	0.9321	-44.026
290	409	5	0.9594	40.079
179	744	5	0.818	-42.025
37	67	5	0.8944	28.031
37	39	5	0.855	27.011
256	644	5	0.9315	-42.047
147	156	5	0.8891	14.016
147	674	5	0.8419	-45.984
17	545	5	0.8899	-132.094
147	925	5	0.8184	-25.990
409	575	5	0.9129	44.974
15	506	5	0.8733	-18.909
238	506	5	0.9082	-23.112
15	433	5	0.8765	-9.854
78	744	5	0.8132	-122.025
17	51	5	0.8835	-120.130
51	650	5	0.8691	-39.084
15	644	5	0.8794	-100.088
17	21	5	0.9235	-44.026
188	506	5	0.8483	-96.091
4	644	5	0.984	-28.032
21	117	5	0.855	31.976
23	409	5	0.8322	-82.172
131	506	5	0.8265	-129.076
51	697	5	0.9097	-38.016
68	472	5	0.8466	-38.102
156	674	5	0.9302	-60.000
70	545	5	0.9084	-205.097
141	256	5	0.8668	-70.078
205	716	5	0.8601	68.026
25	644	5	0.9745	-56.062
32	90	5	0.9161	31.990
15	21	5	0.8696	-30.883
44	674	5	0.8963	-9.984
122	179	5	0.8285	14.016
117	523	5	0.8268	-37.018
611	925	5	0.86	-0.035
254	744	5	0.9299	28.031
68	644	5	0.844	-127.284
462	920	5	0.9807	0.000
43	506	5	0.8856	-32.052
31	44	5	0.9093	-33.984
4	963	5	0.8552	46.041
66	126	5	0.8613	58.006
4	15	5	0.8816	72.057
14	141	5	0.9279	28.031
644	963	5	0.849	74.073
68	582	5	0.8592	-358.396
15	963	5	0.8708	-26.016
375	431	5	0.8259	13.991
70	126	5	0.9088	39.995
25	256	5	0.9366	-14.016
147	747	5	0.9323	-17.026
32	238	5	0.9021	107.017
70	433	5	0.9476	-96.000
238	290	5	0.9142	-233.310
713	716	5	0.8377	111.068
188	462	5	0.8664	-319.237
179	433	5	0.8574	-59.030
290	545	5	0.94	110.157
17	238	5	0.9006	-8.941
14	790	5	0.8621	-58.914
126	431	5	0.904	4.031
37	1013	5	0.8228	0.995
21	68	5	0.8948	58.078
236	254	5	0.9018	-28.031
238	545	5	0.887	-123.153
117	713	5	0.9897	0.000
550	681	5	0.8178	-34.042
51	668	5	0.9069	-138.091
290	899	5	0.9092	83.037
126	716	5	0.9025	-13.979
290	681	5	0.935	-3.948
70	290	5	0.94	-315.253
123	188	5	0.8351	9.037
4	141	5	0.9148	84.093
4	14	5	0.9837	56.062
509	970	5	0.8792	0.000
131	628	5	0.8298	-193.073
431	462	5	0.8458	-372.228
51	409	5	0.9136	-82.042
523	646	5	0.8224	-41.953
122	212	5	0.8636	14.016
509	672	5	0.8149	-21.037
433	523	5	0.9032	-26.070
25	433	5	0.8497	34.172
32	51	5	0.8919	-4.172
179	375	5	0.8124	67.006
188	433	5	0.869	-87.036
67	462	5	0.8103	-362.232
472	713	5	0.8072	12.000
21	70	5	0.9465	117.028
375	509	5	0.8167	-34.957
25	963	5	0.8567	18.010
