CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
613	636	3	0.8626	26.028
628	1039	3	0.9783	-495.326
356	1416	3	0.9374	-261.682
356	575	3	0.9519	56.062
522	1181	3	0.8539	53.541
575	871	3	0.8954	-40.068
755	1181	3	0.9269	-453.284
1007	1155	3	0.8241	-461.227
506	871	3	0.9001	59.964
1007	1141	3	0.8249	3.930
1094	1175	3	0.9495	18.019
356	959	3	0.9356	-17.953
265	788	3	0.9768	-32.064
620	1092	3	0.856	-48.072
646	1452	3	0.9733	42.047
628	755	3	0.9331	495.332
871	1159	3	0.8956	-1.979
535	1086	3	0.8249	-42.023
959	1237	3	0.8386	4.001
265	613	3	0.8757	9.946
1040	1118	3	0.9851	18.045
442	506	3	0.9382	-45.984
506	601	3	0.8178	56.023
265	1259	3	0.9685	-34.079
851	1130	3	0.8606	-80.882
442	575	3	0.9243	54.048
497	543	3	0.9189	-449.320
622	726	3	0.8811	-78.033
851	1007	3	0.8233	443.416
667	755	3	0.939	74.015
620	652	3	0.857	7.990
720	1130	3	0.8547	417.346
506	575	3	0.91	100.031
652	1007	3	0.8618	-64.023
1416	1496	3	0.9061	-283.663
622	720	3	0.8841	-496.387
442	1237	3	0.83	-15.967
622	754	3	0.8621	-71.998
497	1449	3	0.9079	-26.017
620	1141	3	0.8244	-52.103
613	788	3	0.8916	-42.010
1496	1512	3	0.9154	21.982
575	1513	3	0.8673	-14.016
601	1237	3	0.8861	-26.006
755	788	3	0.946	-54.046
356	1237	3	0.8468	-13.952
788	1259	3	0.974	-2.015
265	566	3	0.8889	-30.002
442	1159	3	0.9605	12.001
1297	1416	3	0.8567	250.650
652	1092	3	0.8706	-56.062
383	535	3	0.9918	-479.375
755	1259	3	0.9451	-56.062
1153	1330	3	0.903	26.016
1060	1092	3	0.8403	-28.032
620	988	3	0.8428	-56.000
410	622	3	0.9396	-495.334
622	1130	3	0.8589	-79.041
652	722	3	0.8811	443.301
442	871	3	0.875	13.980
667	1259	3	0.9662	17.953
356	715	3	0.8087	-24.000
620	1007	3	0.8628	-56.033
871	959	3	0.888	-33.948
566	667	3	0.9021	-22.031
715	871	3	0.8085	39.995
442	1449	3	0.8929	-67.985
575	1237	3	0.8369	-70.015
722	1092	3	0.8745	-499.363
652	1259	3	0.8746	463.270
356	1159	3	0.9724	14.016
959	1513	3	0.8251	60.000
1040	1094	3	0.9211	-23.999
754	1130	3	0.8872	-7.043
613	1451	3	0.8963	-30.045
722	788	3	0.9676	21.984
356	1513	3	0.8878	42.047
622	851	3	0.83	1.841
1060	1086	3	0.8959	42.009
434	714	3	0.9522	495.331
613	1237	3	0.8117	-51.929
442	959	3	0.9504	-19.968
871	1237	3	0.8514	-29.947
566	1259	3	0.8891	-4.078
1039	1155	3	0.9256	-53.924
1153	1181	3	0.9032	68.063
613	1259	3	0.8792	-44.026
720	726	3	0.8656	418.354
988	1007	3	0.9633	-0.033
1416	1512	3	0.9604	-261.681
1092	1141	3	0.8493	-4.031
767	963	3	0.9351	495.148
754	851	3	0.8485	73.839
613	667	3	0.8864	-61.979
506	715	3	0.8315	19.969
566	788	3	0.8916	-2.062
1060	1153	3	0.9156	26.014
71	729	4	0.7467	149.197
729	1569	4	0.7513	-0.097
71	1569	4	0.9906	149.099
562	1317	5	0.7732	179.287
1317	1431	5	0.7429	-183.090
1151	1179	5	0.8074	480.734
562	1431	5	0.7482	-3.803
854	1151	5	0.7964	178.103
973	1186	5	0.8741	0.200
1106	1431	5	0.7725	61.631
1179	1186	5	0.824	49.016
562	1055	5	0.7736	77.404
854	1075	5	0.8172	-472.682
859	1075	5	0.7416	224.117
1022	1151	5	0.8196	226.629
859	1138	5	0.7334	33.486
562	1106	5	0.7756	-65.434
1055	1106	5	0.7502	-142.837
1179	1317	5	0.7085	43.023
859	1299	5	0.8463	0.000
854	1022	5	0.8291	-48.526
973	1179	5	0.7989	-48.816
859	1026	5	0.76	-17.026
1055	1317	5	0.8002	101.884
1022	1075	5	0.8145	-424.156
1106	1317	5	0.7483	244.721
1075	1299	5	0.8177	-224.116
1026	1299	5	0.7412	17.026
610	650	6	0.9711	0.027
549	912	7	0.8653	96.075
366	912	7	0.8011	-79.957
597	912	7	0.8024	71.090
366	597	7	0.9641	-151.047
591	912	7	0.8311	113.102
549	591	7	0.9597	-17.027
132	393	8	0.9858	-129.078
764	1400	9	0.7708	211.980
764	1363	9	0.8343	324.106
1363	1400	9	0.8268	-112.126
615	1527	9	0.9622	-379.251
615	1414	9	0.9457	2.013
615	764	9	0.7667	-482.371
615	1363	9	0.7182	-158.265
764	1527	9	0.7614	103.120
615	1400	9	0.7173	-270.391
413	730	11	0.9873	1.077
403	455	11	0.9939	-4.029
954	1322	11	0.9939	-30.046
1224	1404	11	0.991	47.998
292	1322	11	0.9924	-2.016
325	1224	11	0.9908	-26.008
803	1120	11	0.9885	-28.031
301	451	11	0.9895	-52.027
169	301	11	0.9915	-57.031
433	839	11	0.9946	-56.062
325	400	11	0.989	-26.008
455	954	11	0.9943	52.028
658	803	11	0.991	26.016
480	607	11	0.9936	-2.031
292	455	11	0.9949	-23.998
1224	1571	11	0.9918	-26.018
325	1571	11	0.9915	-52.026
301	743	11	0.9958	0.017
480	839	11	0.9934	-30.047
338	455	11	0.9917	-42.022
292	954	11	0.993	28.030
803	839	11	0.9912	-84.094
839	1224	11	0.9908	-76.976
433	658	11	0.9939	2.016
413	451	11	0.9863	1.033
338	403	11	0.9887	-37.993
743	954	11	0.9961	2.024
292	1571	11	0.9923	-48.001
169	658	11	0.9932	30.051
451	1306	11	0.9867	-1.015
743	1404	11	0.9935	0.009
451	730	11	0.992	0.044
433	1404	11	0.991	-85.040
954	1404	11	0.993	-2.015
169	954	11	0.9937	-54.990
292	325	11	0.9939	4.025
433	743	11	0.9931	-85.049
839	1322	11	0.9919	-57.009
338	730	11	0.9882	-44.017
301	607	11	0.9908	57.019
403	954	11	0.993	47.999
743	839	11	0.9929	28.987
169	1322	11	0.9928	-85.036
1203	1322	11	0.9915	-16.018
169	743	11	0.9937	-57.014
292	1224	11	0.9927	-21.983
169	480	11	0.9953	2.020
607	1404	11	0.9898	-56.993
480	658	11	0.9938	28.031
403	1571	11	0.9925	-28.032
169	433	11	0.9964	28.035
455	1571	11	0.9938	-24.003
743	1224	11	0.9928	-47.989
607	658	11	0.9923	30.062
730	817	11	0.9868	2.019
169	1404	11	0.9921	-57.005
839	954	11	0.993	-26.963
455	1224	11	0.9936	2.015
607	839	11	0.9948	-28.016
301	1404	11	0.9948	0.026
658	839	11	0.9933	-58.078
433	607	11	0.9942	-28.047
1322	1404	11	0.9937	28.031
169	607	11	0.9971	-0.012
169	839	11	0.9957	-28.027
433	803	11	0.9912	28.031
1224	1322	11	0.9934	19.967
403	1224	11	0.9909	-2.014
292	451	11	0.9898	-26.037
433	954	11	0.9931	-83.025
455	1322	11	0.9938	21.982
607	743	11	0.993	-57.002
325	455	11	0.9944	-28.023
433	1322	11	0.9917	-113.071
325	451	11	0.9885	-30.062
338	1571	11	0.9884	-66.025
433	480	11	0.9946	-26.015
325	403	11	0.9947	-23.994
292	403	11	0.9939	-19.969
748	954	11	0.992	-24.002
403	451	11	0.988	-6.069
658	743	11	0.9917	-87.065
743	1322	11	0.9942	-28.022
305	1549	12	0.8206	198.118
762	1236	13	0.7783	-96.971
585	1476	13	0.7025	-211.069
762	1342	13	0.8598	36.030
1236	1476	13	0.8097	-96.078
374	1236	13	0.7332	-96.980
374	762	13	0.9506	-0.009
374	1476	13	0.7448	-193.059
762	1476	13	0.7875	-193.050
585	762	13	0.9242	-18.019
585	1342	13	0.8412	18.011
374	1342	13	0.8437	36.021
374	585	13	0.9774	18.010
669	1197	14	0.7577	1.974
1197	1578	14	0.7202	25.861
669	1578	14	0.7316	27.835
491	1263	15	0.7564	-74.036
269	1450	15	0.8366	287.245
291	1263	15	0.8382	-88.054
291	1149	15	0.9882	0.010
491	1450	15	0.7226	-493.361
491	1149	15	0.9106	14.028
291	491	15	0.9123	-14.018
1149	1459	15	0.7032	-58.054
378	1149	15	0.7194	261.094
1149	1263	15	0.8077	-88.065
378	407	15	0.9471	-0.012
407	1149	15	0.7207	261.106
291	378	15	0.7215	-261.083
291	407	15	0.7204	-261.096
1263	1450	15	0.9768	-419.325
291	1459	15	0.7041	-58.044
163	1503	16	0.9203	-203.963
302	428	16	0.9114	-235.860
154	397	16	0.7336	-369.443
201	736	16	0.7192	-208.290
428	479	16	0.7481	340.059
122	277	16	0.8165	155.964
277	428	16	0.789	-89.776
154	302	16	0.7142	280.066
477	736	16	0.8614	127.858
144	1503	16	0.945	0.010
163	676	16	0.9088	-173.812
201	277	16	0.8317	-366.315
163	477	16	0.8545	390.092
154	676	16	0.7469	-399.755
302	479	16	0.7799	104.199
122	736	16	0.9376	313.989
163	428	16	0.8204	270.149
144	163	16	0.872	203.972
428	676	16	0.828	-443.962
428	1503	16	0.7393	-474.112
277	477	16	0.7003	30.167
302	477	16	0.7631	-115.917
397	1503	16	0.8265	-60.463
163	277	16	0.7368	359.926
201	302	16	0.8134	-220.231
144	397	16	0.776	60.472
122	397	16	0.9129	-347.462
154	1503	16	0.9345	-429.906
302	736	16	0.8887	11.941
397	428	16	0.8219	413.650
676	1503	16	0.8233	-30.151
277	736	16	0.7095	158.025
122	428	16	0.8422	66.188
154	163	16	0.8404	-225.943
397	676	16	0.8303	-30.312
428	477	16	0.8019	119.943
144	676	16	0.7852	30.160
122	302	16	0.9408	302.048
144	154	16	0.9015	429.916
122	163	16	0.8889	-203.962
428	736	16	0.7949	247.801
122	477	16	0.8758	186.131
122	676	16	0.8105	-377.774
154	736	16	0.7418	292.008
122	144	16	0.7769	-407.934
122	1503	16	0.8225	-407.924
163	397	16	0.8874	-143.500
277	302	16	0.8636	146.084
277	479	16	0.713	250.283
1219	1395	17	0.8623	-0.848
230	1219	17	0.9259	316.772
230	1395	17	0.8312	315.923
995	1281	18	0.9127	-330.201
467	1182	19	0.9827	0.006
467	1497	19	0.9839	-0.015
1182	1497	19	0.9826	-0.021
1215	1521	20	0.7666	-0.990
1222	1521	20	0.824	-2.016
256	1012	21	0.8383	14.015
256	1469	21	0.8174	-15.995
592	1488	22	0.7675	74.019
16	1554	22	0.8864	405.130
129	435	22	0.8867	-148.038
175	694	22	0.7998	222.056
694	1488	22	0.8993	91.045
129	210	22	0.912	148.038
16	435	22	0.8447	183.074
290	694	22	0.7743	370.094
592	1554	22	0.7987	-239.083
694	1554	22	0.7898	-222.056
290	319	22	0.7478	108.958
210	435	22	0.8975	-296.075
175	1554	22	0.9193	-0.000
129	319	22	0.7279	34.940
16	210	22	0.9633	479.149
435	694	22	0.7251	444.113
290	592	22	0.7668	387.120
16	319	22	0.7457	366.051
210	694	22	0.8376	148.037
129	175	22	0.9112	74.019
175	592	22	0.8077	239.083
175	210	22	0.8951	74.019
210	1554	22	0.9222	-74.019
175	290	22	0.9089	-148.037
129	1554	22	0.8349	74.019
129	592	22	0.7772	313.102
16	175	22	0.9043	405.130
435	592	22	0.7212	461.139
129	290	22	0.9248	-74.019
592	694	22	0.9619	-17.027
16	290	22	0.8886	257.093
592	673	22	0.7393	-73.034
673	694	22	0.7208	56.008
210	319	22	0.7554	-113.098
129	694	22	0.7833	296.075
290	1554	22	0.899	148.037
210	290	22	0.9383	-222.056
16	129	22	0.8693	331.111
319	435	22	0.7441	-182.977
210	592	22	0.8269	165.064
319	1554	22	0.747	39.079
175	319	22	0.726	-39.079
435	1554	22	0.9057	222.056
175	435	22	0.8999	-222.056
290	435	22	0.926	-74.019
1209	1532	23	0.9777	0.000
1516	1532	23	0.8112	-20.494
128	1209	23	0.7861	199.619
3	1516	23	0.9075	220.134
1127	1344	23	0.8351	258.131
1397	1516	23	0.9222	110.040
3	381	23	0.8246	110.046
3	1532	23	0.8105	199.640
381	1516	23	0.9341	110.089
3	1397	23	0.9753	110.094
329	1384	23	0.7208	-42.058
464	680	23	0.87	129.931
282	1344	23	0.9229	0.109
3	1209	23	0.79	199.640
1209	1516	23	0.8499	20.494
744	1516	23	0.8027	220.116
49	128	23	0.7653	-69.093
282	329	23	0.779	-88.874
49	1516	23	0.7191	151.020
381	1532	23	0.7455	89.594
282	1127	23	0.7958	-258.022
128	381	23	0.8488	110.025
282	464	23	0.7745	-260.725
128	1397	23	0.9798	110.073
381	1397	23	0.8806	0.048
1209	1397	23	0.7878	-89.546
381	1209	23	0.8045	89.594
464	1567	23	0.9265	0.000
329	1127	23	0.7448	-169.148
3	49	23	0.7871	69.114
680	1567	23	0.7857	-129.931
744	1209	23	0.7861	199.621
3	744	23	0.9252	0.019
329	464	23	0.7765	-171.852
49	1532	23	0.9069	130.526
50	1384	23	0.7571	129.793
329	1344	23	0.8343	88.983
329	1516	23	0.7196	107.994
49	1209	23	0.8481	130.526
1397	1532	23	0.788	89.546
989	1384	23	0.8787	-130.042
282	1567	23	0.7024	-260.725
1384	1567	23	0.7858	-129.793
49	1397	23	0.7421	40.980
128	744	23	0.8922	-0.002
464	1344	23	0.7579	260.834
128	1532	23	0.7935	199.619
50	1567	23	0.9805	0.000
3	128	23	0.9839	0.021
744	1532	23	0.848	199.621
680	989	23	0.8862	129.904
329	381	23	0.8488	-2.095
50	464	23	0.896	0.000
680	1384	23	0.9881	-0.138
49	744	23	0.8737	-69.095
464	1384	23	0.8763	129.793
128	1516	23	0.9187	220.114
50	680	23	0.757	129.931
744	1397	23	0.8707	110.076
941	1265	24	0.9793	-0.047
323	810	25	0.7166	-224.003
1115	1504	26	0.8401	-26.014
651	701	26	0.8299	-2.015
377	1115	26	0.9226	2.016
701	1504	26	0.8974	2.016
377	1504	26	0.8098	-23.999
377	701	26	0.9206	-26.015
651	1115	26	0.7845	26.016
701	1115	26	0.9467	28.031
651	1504	26	0.9158	0.001
318	977	27	0.7502	124.022
55	1212	27	0.9265	108.918
564	977	27	0.7857	10.009
318	1212	27	0.7182	247.033
40	318	27	0.7023	-138.003
30	318	27	0.7188	-0.045
40	55	27	0.9826	0.112
40	1212	27	0.9749	109.030
22	310	28	0.9917	-0.200
310	552	28	0.7274	-145.932
389	453	29	0.9568	-28.032
332	1037	29	0.8999	25.105
429	469	29	0.954	-50.015
946	1174	29	0.9625	-12.000
307	689	29	0.9686	0.044
343	485	29	0.9597	28.031
485	845	29	0.8971	-54.048
426	882	29	0.932	26.010
472	840	29	0.8485	23.999
343	840	29	0.8531	28.030
332	1334	29	0.9072	14.016
472	845	29	0.8695	-30.049
1334	1530	29	0.8101	-11.999
1037	1174	29	0.8737	4.941
426	1298	29	0.8876	-19.122
332	691	29	0.9591	28.031
389	840	29	0.9279	-0.001
343	389	29	0.9634	28.031
416	819	29	0.8601	0.945
725	946	29	0.8555	68.062
453	725	29	0.8594	81.010
453	472	29	0.8818	4.032
1143	1174	29	0.9288	-26.016
689	691	29	0.9498	26.016
766	819	29	0.8614	-5.102
766	1298	29	0.8574	6.898
1037	1143	29	0.8641	30.957
485	840	29	0.8928	-0.001
1174	1334	29	0.9124	-16.031
819	845	29	0.8586	-24.948
689	1334	29	0.9218	12.000
343	472	29	0.8516	4.031
416	472	29	0.8412	6.046
472	766	29	0.8162	0.001
766	845	29	0.8277	-30.050
689	1174	29	0.9394	28.031
426	840	29	0.9038	-2.022
332	725	29	0.8796	-26.015
1143	1334	29	0.9015	-42.047
429	476	29	0.9469	26.016
946	1037	29	0.8907	-16.942
689	946	29	0.9499	40.031
429	860	29	0.979	-2.017
389	485	29	0.972	0.000
416	557	29	0.8144	268.274
691	1174	29	0.9515	2.015
343	557	29	0.8608	266.260
840	1298	29	0.8663	-17.100
343	845	29	0.909	-26.017
840	882	29	0.8617	28.033
689	1037	29	0.9175	23.090
453	819	29	0.8511	-1.069
691	1143	29	0.9295	28.031
725	1037	29	0.8834	51.121
946	1334	29	0.9133	-28.031
343	453	29	0.9587	-0.000
416	453	29	0.9103	2.014
472	485	29	0.8624	24.000
453	840	29	0.879	28.031
766	840	29	0.8456	23.998
691	1334	29	0.917	-14.016
453	845	29	0.9236	-26.017
946	1143	29	0.9335	14.015
429	1534	29	0.956	10.993
332	689	29	0.9709	2.016
485	1037	29	0.854	104.099
725	845	29	0.8505	-107.027
691	1037	29	0.8789	-2.926
453	485	29	0.9502	28.032
389	472	29	0.8817	-24.000
882	1298	29	0.8606	-45.132
389	845	29	0.9094	-54.048
689	725	29	0.8936	-28.031
389	725	29	0.8493	52.979
1037	1334	29	0.8693	-11.090
691	946	29	0.96	14.016
426	429	29	0.9328	21.978
725	819	29	0.8806	-82.079
416	845	29	0.8988	-24.003
332	1143	29	0.9102	56.062
691	725	29	0.8542	-54.047
454	860	29	0.9632	54.054
332	946	29	0.9576	42.047
332	485	29	0.8471	-78.994
453	1037	29	0.8596	132.131
343	416	29	0.9177	-2.014
416	485	29	0.8982	30.045
689	1143	29	0.9108	54.047
332	1174	29	0.9324	30.047
389	819	29	0.8472	-29.101
389	416	29	0.9072	-30.045
485	557	29	0.8609	238.229
1099	1371	30	0.7697	-2.016
1099	1325	30	0.8838	0.000
482	1085	30	0.9495	-0.000
544	1087	30	0.7567	30.056
392	482	30	0.7467	-100.129
1004	1099	30	0.8238	18.011
643	1264	30	0.7779	66.082
1326	1371	30	0.7736	-2.023
297	1326	30	0.7708	2.023
544	1110	30	0.7692	-28.025
297	1099	30	0.7707	2.015
1085	1320	30	0.7467	-208.131
1004	1325	30	0.8253	18.011
590	1099	30	0.7498	-26.016
1291	1453	30	0.7467	311.284
255	1264	30	0.7976	12.000
297	590	30	0.9059	28.032
1291	1320	30	0.7769	264.243
1004	1326	30	0.8263	18.018
544	1243	30	0.8536	28.041
297	1004	30	0.7631	-15.995
1325	1326	30	0.8774	0.007
1087	1243	30	0.8522	-2.016
513	1085	30	0.8181	-12.072
1004	1291	30	0.7924	-487.389
643	1326	30	0.7986	-54.040
643	1325	30	0.8393	-54.047
297	1371	30	0.9269	-0.000
1370	1371	30	0.8527	45.988
590	1264	30	0.7693	94.113
643	1371	30	0.899	-56.063
1266	1453	30	0.8656	28.032
590	1325	30	0.8219	-26.016
1099	1110	30	0.7656	-21.954
297	643	30	0.8978	56.063
1325	1371	30	0.7949	-2.016
1264	1371	30	0.7474	-122.145
643	1099	30	0.7885	-54.047
590	1371	30	0.9109	-28.032
297	1370	30	0.8609	-45.988
462	1371	30	0.9047	373.305
590	643	30	0.9701	28.031
297	462	30	0.9142	-373.305
1099	1326	30	0.925	0.008
643	1004	30	0.7772	-72.058
1110	1325	30	0.8078	21.954
462	1370	30	0.8789	327.317
590	1004	30	0.784	-44.027
297	1325	30	0.7963	2.016
1004	1371	30	0.7697	15.995
590	1326	30	0.7713	-26.009
482	513	30	0.8251	12.072
639	870	31	0.9436	342.952
870	1097	31	0.8177	15.995
167	1407	33	0.9908	-185.947
443	781	33	0.9947	158.132
53	105	33	0.8995	-159.936
105	286	33	0.8859	121.998
86	1407	33	0.8818	-167.938
53	781	33	0.8913	156.020
64	823	33	0.9933	0.001
53	99	33	0.9326	0.026
46	823	33	0.9327	314.963
64	115	33	0.9421	-314.904
64	299	33	0.961	-315.093
46	64	33	0.942	314.962
105	781	33	0.9958	315.956
64	443	33	0.9582	-157.142
35	1052	33	0.9295	-0.209
74	233	33	0.8968	152.948
