CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
102	602	5	0.9435	209.061
92	449	5	0.8818	82.053
84	449	5	0.9063	-82.053
84	827	5	0.8338	-164.080
92	602	5	0.8425	289.085
166	602	5	0.9391	209.062
166	420	5	0.952	3.908
420	827	5	0.9297	-83.905
92	166	5	0.9162	80.023
102	237	5	0.9563	1.864
24	130	5	0.8661	285.918
102	449	5	0.9423	2.029
166	449	5	0.9384	2.030
420	449	5	0.9382	-1.878
237	420	5	0.9591	2.043
449	827	5	0.8781	-82.027
237	449	5	0.9768	0.165
52	102	5	0.9593	163.976
92	420	5	0.9286	83.931
420	602	5	0.9303	205.154
32	92	5	0.8115	-84.113
38	60	5	0.9097	140.901
84	237	5	0.9349	-82.218
102	827	5	0.9123	-79.997
84	102	5	0.9393	-84.082
92	102	5	0.9204	80.024
84	420	5	0.9284	-80.175
32	52	5	0.9162	-168.065
92	827	5	0.9899	0.026
32	237	5	0.9007	-2.225
84	130	5	0.8387	106.968
92	237	5	0.9093	81.888
52	84	5	0.934	248.058
449	602	5	0.9159	207.032
52	92	5	0.9128	83.952
237	602	5	0.943	207.197
32	420	5	0.8739	-0.182
130	602	5	0.8522	18.010
32	166	5	0.838	-4.090
130	1547	5	0.8241	-1.038
52	237	5	0.9896	165.840
166	827	5	0.909	-79.997
32	827	5	0.8068	-84.087
84	166	5	0.9354	-84.083
52	449	5	0.985	166.005
166	237	5	0.9524	1.865
84	602	5	0.9884	124.979
117	204	6	0.9317	0.134
17	66	6	0.8541	140.221
432	1479	6	0.7742	137.986
57	204	6	0.9813	-0.007
12	117	6	0.7404	-136.045
82	1479	6	0.8855	139.034
17	204	6	0.9726	0.158
66	117	6	0.7592	-140.197
57	66	6	0.8589	140.056
17	117	6	0.9502	0.025
17	57	6	0.9841	0.165
82	432	6	0.7112	1.048
57	117	6	0.9596	-0.140
12	1479	6	0.8277	139.062
66	204	6	0.8678	-140.063
669	1197	7	0.7577	1.974
669	1578	7	0.7316	27.835
1197	1578	7	0.7202	25.861
800	1188	8	0.7958	-0.036
667	755	9	0.939	74.015
506	959	9	0.9673	26.016
434	767	9	0.9349	-495.328
620	988	9	0.8428	-56.000
652	1259	9	0.8746	463.270
356	1416	9	0.9374	-261.682
722	755	9	0.9379	76.031
988	1007	9	0.9633	-0.033
356	1513	9	0.8878	42.047
442	1449	9	0.8929	-67.985
442	871	9	0.875	13.980
871	1159	9	0.8956	-1.979
667	722	9	0.9671	-2.016
265	652	9	0.8764	-497.349
726	1130	9	0.9537	-1.008
434	714	9	0.9522	495.331
1007	1060	9	0.874	35.993
715	1159	9	0.8117	38.016
566	620	9	0.8707	-475.337
265	788	9	0.9768	-32.064
543	714	9	0.9182	-495.343
1040	1118	9	0.9851	18.045
566	667	9	0.9021	-22.031
1039	1155	9	0.9256	-53.924
356	871	9	0.8977	15.995
755	788	9	0.946	-54.046
1092	1141	9	0.8493	-4.031
613	667	9	0.8864	-61.979
1005	1147	9	0.8737	15.997
871	959	9	0.888	-33.948
506	715	9	0.8315	19.969
265	667	9	0.9731	-52.032
522	1181	9	0.8539	53.541
646	1297	9	0.8734	-10.951
410	622	9	0.9396	-495.334
434	963	9	0.991	-0.179
442	1513	9	0.8788	40.032
442	506	9	0.9382	-45.984
767	963	9	0.9351	495.148
871	1237	9	0.8514	-29.947
652	788	9	0.8886	465.285
611	1155	9	0.8081	102.075
265	1259	9	0.9685	-34.079
566	722	9	0.8903	-24.047
988	1141	9	0.8234	3.896
356	442	9	0.9773	2.015
620	1007	9	0.8628	-56.033
959	1237	9	0.8386	4.001
1416	1496	9	0.9061	-283.663
566	788	9	0.8916	-2.062
620	1092	9	0.856	-48.072
613	1237	9	0.8117	-51.929
622	720	9	0.8841	-496.387
1060	1086	9	0.8959	42.009
356	506	9	0.9353	-43.969
613	1259	9	0.8792	-44.026
620	1141	9	0.8244	-52.103
1007	1155	9	0.8241	-461.227
851	1130	9	0.8606	-80.882
1297	1416	9	0.8567	250.650
1040	1094	9	0.9211	-23.999
506	1237	9	0.8629	30.017
506	1513	9	0.8074	86.016
646	1452	9	0.9733	42.047
959	1159	9	0.9277	31.969
1007	1141	9	0.8249	3.930
1086	1153	9	0.8857	-15.995
506	575	9	0.91	100.031
722	788	9	0.9676	21.984
442	1237	9	0.83	-15.967
851	1007	9	0.8233	443.416
720	754	9	0.8541	424.389
788	1259	9	0.974	-2.015
652	722	9	0.8811	443.301
622	1130	9	0.8589	-79.041
613	1451	9	0.8963	-30.045
575	1513	9	0.8673	-14.016
1060	1092	9	0.8403	-28.032
497	1005	9	0.9188	68.006
754	851	9	0.8485	73.839
1159	1513	9	0.8872	28.031
355	636	9	0.9836	-0.020
988	1092	9	0.8493	7.928
1496	1512	9	0.9154	21.982
1416	1512	9	0.9604	-261.681
1007	1092	9	0.8636	7.961
575	871	9	0.8954	-40.068
715	871	9	0.8085	39.995
1040	1092	9	0.8281	-32.064
646	1092	9	0.8244	-24.000
356	715	9	0.8087	-24.000
535	1086	9	0.8249	-42.023
1159	1237	9	0.8438	-27.968
1094	1118	9	0.9213	42.044
622	851	9	0.83	1.841
754	1130	9	0.8872	-7.043
522	628	9	0.8629	11.493
356	1237	9	0.8468	-13.952
497	1449	9	0.9079	-26.017
722	1092	9	0.8745	-499.363
265	566	9	0.8889	-30.002
1040	1175	9	0.9087	-5.981
720	1003	9	0.9125	-494.270
566	652	9	0.8853	-467.347
628	1039	9	0.9783	-495.326
356	575	9	0.9519	56.062
442	959	9	0.9504	-19.968
613	636	9	0.8626	26.028
1153	1330	9	0.903	26.016
356	959	9	0.9356	-17.953
667	788	9	0.9826	19.968
506	1159	9	0.9315	57.985
720	1130	9	0.8547	417.346
522	1039	9	0.8715	-483.833
667	1259	9	0.9662	17.953
754	799	9	0.8215	-54.987
601	1237	9	0.8861	-26.006
575	1237	9	0.8369	-70.015
755	1181	9	0.9269	-453.284
652	1007	9	0.8618	-64.023
1153	1181	9	0.9032	68.063
506	601	9	0.8178	56.023
336	611	9	0.8378	-11.992
988	1060	9	0.8848	35.960
622	754	9	0.8621	-71.998
442	575	9	0.9243	54.048
504	1155	9	0.955	495.331
506	871	9	0.9001	59.964
566	1259	9	0.8891	-4.078
714	963	9	0.9516	-495.510
652	667	9	0.8929	445.317
265	755	9	0.9397	21.982
726	754	9	0.8827	6.035
497	543	9	0.9189	-449.320
1060	1153	9	0.9156	26.014
575	1159	9	0.9454	-42.046
1297	1452	9	0.878	52.998
755	1259	9	0.9451	-56.062
720	726	9	0.8656	418.354
622	726	9	0.8811	-78.033
613	788	9	0.8916	-42.010
652	1092	9	0.8706	-56.062
714	937	9	0.8416	465.285
265	613	9	0.8757	9.946
522	937	9	0.8817	-62.520
566	755	9	0.8617	51.984
442	1159	9	0.9605	12.001
1094	1175	9	0.9495	18.019
356	1159	9	0.9724	14.016
383	535	9	0.9918	-479.375
1039	1153	9	0.8994	469.310
1118	1175	9	0.925	-24.026
722	1259	9	0.9591	19.969
265	722	9	0.9596	-54.048
959	1513	9	0.8251	60.000
628	755	9	0.9331	495.332
355	613	9	0.8462	-26.048
628	1153	9	0.909	-26.015
1297	1512	9	0.8071	-11.030
726	851	9	0.8516	79.874
620	652	9	0.857	7.990
628	1181	9	0.9776	42.048
575	959	9	0.9106	-74.016
1146	1359	10	0.9414	-21.968
189	229	11	0.8342	185.879
229	1019	11	0.9561	240.206
189	728	11	0.9871	-0.020
189	1019	11	0.8726	426.085
229	728	11	0.8511	-185.899
728	1019	11	0.8917	426.105
375	728	11	0.722	-126.038
189	375	11	0.7044	126.018
772	775	12	0.926	-0.144
465	723	13	0.7022	-175.019
396	645	13	0.7403	177.110
645	723	13	0.8345	-175.043
704	1463	14	0.7046	0.334
866	893	14	0.7242	-379.029
1316	1463	14	0.7821	0.332
724	998	14	0.871	-237.054
724	759	14	0.8464	0.250
759	893	14	0.7144	331.026
704	998	14	0.8222	315.739
699	704	14	0.935	-0.333
699	998	14	0.8169	315.406
998	1316	14	0.7633	-315.737
724	893	14	0.7508	331.276
731	866	14	0.7826	-118.258
998	1463	14	0.8025	-315.404
759	998	14	0.8114	-237.304
1179	1186	15	0.824	49.016
973	1186	15	0.8741	0.200
1022	1151	15	0.8196	226.629
1055	1317	15	0.8002	101.884
854	1022	15	0.8291	-48.526
1106	1317	15	0.7483	244.721
1179	1317	15	0.7085	43.023
1106	1431	15	0.7725	61.631
859	1138	15	0.7334	33.486
1317	1431	15	0.7429	-183.090
854	1151	15	0.7964	178.103
562	1317	15	0.7732	179.287
562	1055	15	0.7736	77.404
1055	1106	15	0.7502	-142.837
859	1026	15	0.76	-17.026
859	1299	15	0.8463	0.000
562	1431	15	0.7482	-3.803
1075	1299	15	0.8177	-224.116
1026	1299	15	0.7412	17.026
854	1075	15	0.8172	-472.682
1151	1179	15	0.8074	480.734
859	1075	15	0.7416	224.117
562	1106	15	0.7756	-65.434
973	1179	15	0.7989	-48.816
1022	1075	15	0.8145	-424.156
579	1077	16	0.7642	18.294
1057	1505	16	0.8009	166.772
688	1077	16	0.7635	18.151
891	929	16	0.8423	5.506
733	790	16	0.9558	361.270
1057	1145	16	0.874	-313.421
1134	1455	16	0.7359	451.130
663	1145	16	0.9238	440.667
891	1304	16	0.7696	-388.058
790	1123	16	0.7453	-470.509
1057	1409	16	0.8751	-19.969
1145	1409	16	0.821	293.452
502	532	16	0.8718	-0.111
1058	1137	16	0.8542	206.611
532	790	16	0.7836	42.631
609	1364	16	0.8332	-40.299
929	1327	16	0.8837	26.505
502	1349	16	0.8816	-322.521
688	874	16	0.7802	18.294
1327	1333	16	0.7307	191.017
502	936	16	0.9266	-388.598
609	648	16	0.7028	-31.807
1024	1311	16	0.8086	12.706
609	891	16	0.7029	-46.057
1024	1294	16	0.8874	-104.105
579	1057	16	0.9562	-189.777
879	1024	16	0.8928	104.216
532	1304	16	0.7978	332.004
579	1024	16	0.7868	377.543
663	929	16	0.8136	-8.494
879	1057	16	0.8624	-463.104
688	1505	16	0.8088	-23.148
1077	1311	16	0.8318	371.955
1041	1311	16	0.7804	281.816
1409	1505	16	0.8441	186.741
874	1077	16	0.9536	-0.144
532	733	16	0.7495	-318.638
1349	1455	16	0.7927	346.035
