CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
799	930	2	0.8077	-488.458
264	341	2	0.8859	-423.330
31	405	2	0.8381	153.955
473	675	3	0.719	-204.302
67	132	4	0.8201	23.016
132	657	4	0.8166	15.995
56	518	4	0.8699	-204.090
56	964	4	0.8003	-0.984
56	67	4	0.8847	17.027
34	74	5	0.9361	188.960
34	71	5	0.8831	130.010
314	459	5	0.9594	40.079
492	921	5	0.9807	0.000
248	391	5	0.8124	67.006
3	601	5	0.8733	-18.909
391	466	5	0.8167	-34.957
141	492	5	0.8157	-254.092
459	683	5	0.8665	111.152
149	163	5	0.8891	14.016
52	660	5	0.9097	-38.016
52	497	5	0.8691	-39.084
12	23	5	0.99	-28.031
248	674	5	0.8574	-59.030
248	778	5	0.818	-42.025
47	163	5	0.8611	50.016
141	196	5	0.8668	-70.078
21	74	5	0.9465	117.028
72	134	5	0.8613	58.006
459	659	5	0.9482	-44.026
70	135	5	0.8132	-10.009
467	764	5	0.8024	-49.078
35	914	5	0.8019	-23.975
618	678	5	0.8295	-253.154
124	134	5	0.8612	125.048
134	727	5	0.9025	-13.979
124	712	5	0.9897	0.000
71	169	5	0.8507	-162.083
126	214	5	0.8636	14.016
466	985	5	0.8792	0.000
20	52	5	0.8835	-120.130
163	589	5	0.9302	-60.000
117	674	5	0.8565	467.504
70	989	5	0.8444	-25.977
21	50	5	0.8848	44.026
12	422	5	0.9756	-84.094
83	778	5	0.8132	-122.025
102	210	5	0.9813	-278.084
21	712	5	0.8551	31.976
102	314	5	0.9167	-158.283
391	727	5	0.8522	-4.020
52	459	5	0.9136	-82.042
3	23	5	0.9321	-44.026
47	135	5	0.8736	46.006
254	921	5	0.8635	-319.237
49	113	5	0.8648	15.011
38	70	5	0.8944	28.031
314	907	5	0.9092	83.037
20	674	5	0.9239	-22.997
27	497	5	0.8084	-39.214
134	391	5	0.8433	-9.959
459	483	5	0.8331	-9.984
248	578	5	0.8281	-172.158
149	914	5	0.8184	-25.990
35	47	5	0.9093	-33.984
102	528	5	0.9114	-34.147
571	699	5	0.8031	10.023
314	516	5	0.9016	193.183
66	899	5	0.8982	-0.000
191	596	5	0.886	-57.958
52	576	5	0.9069	-138.091
8	141	5	0.9148	84.093
126	248	5	0.8285	14.016
12	770	5	0.8621	-58.914
